"Long code","FoodEx2 code","FoodEx2 name","SUA code","SUA name","Category","Country name","Country code","Carbon footprint, primary production","Carbon dioxide, primary production","Methane, fossil, primary production","Methane, biogenic, primary production","Nitrous oxide, primary production","Land","N input","P input","Water","Pesticides","Biodiversity","Ammonia","Animal welfare","Antibiotics","Mineral fertiliser production (CO2e)","Capital goods (CO2e)","Soil emissions (CO2e)","Energy primary production (CO2e)","Land use change (CO2e)","Enteric fermentation (CO2e)","Manure management (CO2e)","Mineral fertiliser production (CO2)","Capital goods (CO2)","Energy primary production (CO2)","Land use change (CO2)","Mineral fertiliser production (CH4, fossil)","Capital goods (CH4, fossil)","Energy primary production (CH4, fossil)","Soil emissions (CH4, biogenic)","Enteric fermentation (CH4, biogenic)","Manure management (CH4, biogenic)","Mineral fertiliser production (N2O)","Capital goods (N2O)","Soil emissions (N2O)","Energy primary production (N2O)","Manure management (N2O)","Direct Values (N-P-Diesel)"
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Austria","AT",0.4457158453258592,0.18259998036082037,8.395260426345827e-4,0,8.721538054744624e-4,1.71331450971792,0.026213711998684178,0.002398640313605088,2.733645116e-4,0.15309133336988406,2.7225479500647833e-13,0.0019413108076538,0,0,0.09215135932731047,0.0301313,0.228561766537465,0.09461483284105035,2.5658662003334964e-4,0,0,0.08355571845484737,0.027,0.07178767528593966,2.5658662003334964e-4,0,9.5e-5,7.445260426345826e-4,0,0,0,3.1485864001696334e-5,1.1e-6,8.372225880493223e-4,2.345353423443708e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Belgium","BE",0.3482070046416248,0.16511388879954114,1.257642530069508e-4,0,6.56942641401013e-4,1.2242419493849408,0.018730901825589594,0.0017139387291389173,2.5439535199999998e-5,0.36045514867194234,1.0287235018013547e-13,0.0012024490332101323,0,0,0.06518292443051704,0.0301313,0.17206355660653166,0.06267325933803632,0.018155964266539815,0,0,0.05875128402098772,0.027,0.06120664051201361,0.018155964266539815,0,9.5e-5,3.0764253006950804e-5,0,0,0,2.3559122379228285e-5,1.1e-6,6.302694381191636e-4,2.0140809026211185e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Bulgaria","BG",0.45470196672433594,0.19648529607090778,1.3296237223933894e-4,0,9.31334769086798e-4,1.8507003049954103,0.028315714666429778,0.0025909804269935747,0,0.10971488111101242,3.3702661211081606e-13,0.0022116686156418127,0,0,0.09594705875953898,0.0301313,0.24443272748001138,0.08185584885953304,0.0023350316252525403,0,0,0.08707020560955629,0.027,0.08008005883609895,0.0023350316252525403,0,9.5e-5,3.796237223933895e-5,0,0,0,3.251594560433216e-5,1.1e-6,8.953579761172578e-4,2.360847365207996e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Canada","CA",0.751292042752966,0.34126933936397946,1.569066705438535e-4,0,0.001484787123101757,3.1411178610243815,0.048059103273673034,0.004397565005434134,0.0142831547584,0.37770960075425464,5.194675717748959e-14,0.0067791526834668795,0,0,0.19433311687682595,0.0301313,0.39350320882014084,0.10289237891088013,0.030432038145119057,0,0,0.18371485966046805,0.027,0.10012244155839234,0.030432038145119057,0,9.5e-5,6.190667054385349e-5,0,0,0,3.889471507823403e-5,1.1e-6,0.0014414036953118712,3.3887127116518227e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Croatia","HR",0.4444695862685697,0.20557687266829727,1.4043337152172888e-4,0,8.597355279447798e-4,1.7079185937681467,0.026131154484652645,0.002391086031275405,0,0.11095458986042889,2.2231983650098167e-13,0.0028861644535788334,0,0,0.09149868796515753,0.0301313,0.22793842428352132,0.07738849821591758,0.01751267580397326,0,0,0.08568468357665267,0.027,0.07537951328767137,0.01751267580397326,0,9.5e-5,4.543337152172889e-5,0,0,0,2.129671937181267e-5,1.1e-6,8.349392830898217e-4,2.3995254831453825e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Czechia","CZ",0.41358746312764016,0.18508058893909865,1.365549311092894e-4,0,8.221155210310794e-4,1.6168253311258278,0.024737427566225167,0.002263555463576159,0,0.27503298323675496,1.7439647622695258e-13,0.0025184685112109337,0,0,0.0864808632902763,0.0301313,0.2174152285586265,0.07955991451729744,1.5676143992572005e-7,0,0,0.08037786406067612,0.027,0.07770256811698263,1.5676143992572005e-7,0,9.5e-5,4.1554931109289404e-5,0,0,0,2.235530853333398e-5,1.1e-6,7.963927786030275e-4,2.267433894717881e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Denmark","DK",0.4063534595770508,0.1721360328022143,1.2932467298374756e-4,0,8.43822533040003e-4,1.305023033656544,0.025056442246205648,0.0024142926122646064,0.001860936398,0.10113928510838217,4.653057194791673e-14,0.0014801810190954393,0,0,0.08771261472018825,0.0301313,0.21982391699835113,0.06732955841886422,0.0013560694396471589,0,0,0.07808258264039271,0.027,0.0656973807221744,0.0013560694396471589,0,9.5e-5,3.432467298374754e-5,0,0,0,3.527484278313386e-5,1.1e-6,8.052158131807733e-4,2.231877076095764e-6,0,"N-P"
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","France","FR",0.37699437519320944,0.16491186327352217,1.2561669774931834e-4,0,7.631470121859253e-4,1.4802621840380368,0.022648011415781964,0.0020723670576532514,2.255164634e-4,0.44839391553031865,1.779488384845787e-13,0.0021792713112658143,0,0,0.07783008183841272,0.0301313,0.20163930085632012,0.06475702234584092,0.002636670152635708,0,0,0.07200355929266662,0.027,0.06327163382821985,0.002636670152635708,0,9.5e-5,3.061669774931834e-5,0,0,0,2.134257342764141e-5,1.1e-6,7.386054976421982e-4,2.0989411160856765e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Germany","DE",0.36032309919358585,0.16349228978032743,1.367301181876282e-4,0,7.060668567445682e-4,1.3435695418159148,0.0205566139897835,0.0018809973585422809,9.1096e-9,0.29961130533155267,1.2323080432704858e-13,0.0016970944366207546,0,0,0.07192641981489538,0.0301313,0.1858484137310613,0.07001734402084556,0.0023996216267836113,0,0,0.0659411565270551,0.027,0.06815151162648872,0.0023996216267836113,0,9.5e-5,4.1730118187628204e-5,0,0,0,2.1924041347400322e-5,1.1e-6,6.807634202602978e-4,2.2793951368700382e-6,0,""
"A.01.02.001.004","A001P","Bulgur wheat","0111","Wheat","Cereals, incl feed","Greece","GR",0.6255809407851938,0.3223575090577927,1.6354619514759183e-4,0,0.0010928562458315124,3.346249857784381,0.05119762282410103,0.004684749800898134,0.0088761701474,0.08319546783919261,1.5754555731801717e-12,0.0067007378724021315,0,0,0.17808260100202997,0.0301313,0.29266450787793274,0.11387839285891642,0.010824139046314747,0,0,0.1736177255015169,0.027,0.11091564450996107,0.010824139046314747,0,9.5e-5,6.854619514759183e-5,0,0,0,1.6354855313234656e-5,1.1e-6,0.001072031164388032,3.370226130245848e-6,0,""
